측정소명,측정일시,미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
송파구,20230225,42,20
송파구,20230224,54,28
송파구,20230223,43,24
송파구,20230222,43,25
송파구,20230221,31,15
송파구,20230220,42,10
송파구,20230219,51,33
송파구,20230218,74,53
송파구,20230217,42,28
송파구,20230216,29,18
송파구,20230215,18,9
송파구,20230214,40,26
송파구,20230213,29,20
송파구,20230212,66,53
송파구,20230211,41,31
송파구,20230210,24,18
송파구,20230209,39,25
송파구,20230208,71,51
송파구,20230207,80,59
송파구,20230206,75,54
송파구,20230205,62,44
송파구,20230204,38,23
송파구,20230203,44,19
송파구,20230202,49,18
송파구,20230201,72,37
송파구,20230131,38,16
송파구,20230130,50,17
송파구,20230129,42,14
송파구,20230128,40,13
송파구,20230127,38,14
송파구,20230126,24,13
송파구,20230125,22,7
송파구,20230124,29,10
송파구,20230123,55,28
송파구,20230122,27,12
송파구,20230121,24,10
송파구,20230120,77,21
송파구,20230119,62,25
송파구,20230118,54,23
송파구,20230117,32,18
송파구,20230116,24,14
송파구,20230115,14,11
송파구,20230114,10,6
송파구,20230113,23,15
송파구,20230112,75,48
송파구,20230111,77,47
송파구,20230110,65,34
송파구,20230109,102,47
송파구,20230108,127,69
송파구,20230107,114,85
송파구,20230106,74,56
송파구,20230105,45,34
송파구,20230104,36,23
송파구,20230103,31,18
송파구,20230102,27,13
송파구,20230101,53,37
