측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
영등포구,20220831,12,4
영등포구,20220901,18,10
영등포구,20220902,20,9
영등포구,20220903,16,8
영등포구,20220904,11,5
영등포구,20220905,7,3
영등포구,20220906,12,5
영등포구,20220907,29,14
영등포구,20220908,29,14
영등포구,20220909,20,11
영등포구,20220910,11,6
영등포구,20220911,21,12
영등포구,20220912,22,13
영등포구,20220913,23,14
영등포구,20220914,19,10
영등포구,20220915,23,11
영등포구,20220916,26,13
영등포구,20220917,20,13
영등포구,20220918,20,12
영등포구,20220919,20,9
영등포구,20220920,25,7
영등포구,20220921,29,12
영등포구,20220922,21,9
영등포구,20220923,25,10
영등포구,20220924,18,5
영등포구,20220925,24,10
영등포구,20220926,26,11
영등포구,20220927,30,14
영등포구,20220928,32,16
영등포구,20220929,70,50
영등포구,20220930,49,32
영등포구,20221001,53,36
영등포구,20221002,33,23
영등포구,20221003,17,9
영등포구,20221004,16,5
영등포구,20221005,22,8
영등포구,20221006,12,3
영등포구,20221007,12,4
영등포구,20221008,12,4
영등포구,20221009,11,3
영등포구,20221010,10,2
영등포구,20221011,16,7
영등포구,20221012,24,11
영등포구,20221013,22,10
영등포구,20221014,27,14
영등포구,20221015,33,18
영등포구,20221016,38,24
영등포구,20221017,26,9
영등포구,20221018,23,8
영등포구,20221019,24,10
영등포구,20221020,34,17
영등포구,20221021,47,31
영등포구,20221022,48,33
영등포구,20221023,36,17
영등포구,20221024,28,10
영등포구,20221025,20,7
영등포구,20221026,17,6
영등포구,20221027,31,15
영등포구,20221028,43,23
영등포구,20221029,26,15
영등포구,20221030,26,15
영등포구,20221031,25,12
영등포구,20221101,45,29
영등포구,20221102,32,12
영등포구,20221103,31,13
영등포구,20221104,25,6
영등포구,20221105,27,10
영등포구,20221106,24,11
영등포구,20221107,33,16
영등포구,20221108,46,28
영등포구,20221109,68,45
영등포구,20221110,82,59
영등포구,20221111,56,35
영등포구,20221112,58,35
영등포구,20221113,20,10
영등포구,20221114,24,13
영등포구,20221115,28,15
영등포구,20221116,33,19
영등포구,20221117,36,17
영등포구,20221118,45,26
영등포구,20221119,35,17
영등포구,20221120,31,17
영등포구,20221121,43,26
영등포구,20221122,60,39
영등포구,20221123,42,26
영등포구,20221124,50,28
영등포구,20221125,58,34
영등포구,20221126,56,16
영등포구,20221127,22,10
영등포구,20221128,30,12
영등포구,20221129,22,8
영등포구,20221130,23,4
영등포구,20221201,21,6
영등포구,20221202,17,6
영등포구,20221203,33,19
영등포구,20221204,17,5
영등포구,20221205,19,7
영등포구,20221206,26,13
영등포구,20221207,32,13
영등포구,20221208,27,9
영등포구,20221209,44,24
영등포구,20221210,38,20
영등포구,20221211,40,23
영등포구,20221212,32,19
영등포구,20221213,177,34
영등포구,20221214,44,9
영등포구,20221215,33,18
영등포구,20221216,29,14
영등포구,20221217,26,11
영등포구,20221218,21,7
영등포구,20221219,21,9
영등포구,20221220,32,19
영등포구,20221221,57,39
영등포구,20221222,31,14
영등포구,20221223,19,10
영등포구,20221224,27,14
영등포구,20221225,38,26
영등포구,20221226,48,35
영등포구,20221227,49,33
영등포구,20221228,35,19
영등포구,20221229,31,17
영등포구,20221230,39,26
영등포구,20221231,40,27
