조사년월일,측정지역,일일강수량
20221125,영등포구,0.003
20221124,영등포구,0
20221123,영등포구,0
20221122,영등포구,0
20221121,영등포구,0
20221120,영등포구,0
20221119,영등포구,0
20221118,영등포구,0
20221117,영등포구,0
20221116,영등포구,0
20221115,영등포구,0.013
20221114,영등포구,0
20221113,영등포구,0
20221112,영등포구,0.307
20221111,영등포구,0
20221110,영등포구,0
20221109,영등포구,0
20221108,영등포구,0
20221107,영등포구,0
20221106,영등포구,0
20221105,영등포구,0
20221104,영등포구,0
20221103,영등포구,0
20221102,영등포구,0
20221101,영등포구,0
20221031,영등포구,0
20221030,영등포구,0
20221029,영등포구,0
20221028,영등포구,0
20221027,영등포구,0
20221026,영등포구,0
20221025,영등포구,0
20221024,영등포구,0
20221023,영등포구,0
20221022,영등포구,0
20221021,영등포구,0
20221020,영등포구,0
20221019,영등포구,0
20221018,영등포구,0
20221017,영등포구,0
20221016,영등포구,0
20221015,영등포구,0
20221014,영등포구,0
20221013,영등포구,0
20221012,영등포구,0
20221011,영등포구,0
20221010,영등포구,0.013
20221009,영등포구,0.104
20221008,영등포구,0
20221007,영등포구,0
20221006,영등포구,0
20221005,영등포구,0
20221004,영등포구,0.079
20221003,영등포구,0.43
20221002,영등포구,0.098
20221001,영등포구,0
20220930,영등포구,0
20220929,영등포구,0
20220928,영등포구,0
20220927,영등포구,0
20220926,영등포구,0
20220925,영등포구,0
20220924,영등포구,0
20220923,영등포구,0.016
20220922,영등포구,0
20220921,영등포구,0
20220920,영등포구,0
20220919,영등포구,0
20220918,영등포구,0
20220917,영등포구,0.003
20220916,영등포구,0.076
20220915,영등포구,0
20220914,영등포구,0
20220913,영등포구,0
20220912,영등포구,0
20220911,영등포구,0
20220910,영등포구,0
20220909,영등포구,0
20220908,영등포구,0
20220907,영등포구,0
20220906,영등포구,0.18
20220905,영등포구,0.921
20220904,영등포구,0.168
20220903,영등포구,0
20220902,영등포구,0
20220901,영등포구,0
20220831,영등포구,0
20220830,영등포구,0.237
20220829,영등포구,0.009
20220828,영등포구,0
20220827,영등포구,0.016
20220826,영등포구,0
20220825,영등포구,0.009
20220824,영등포구,0
20220823,영등포구,0.019
20220822,영등포구,0.016
20220821,영등포구,0
20220820,영등포구,0
20220819,영등포구,0.231
20220818,영등포구,0
20220817,영등포구,0
20220816,영등포구,0
20220815,영등포구,0.016
20220814,영등포구,0.006
20220813,영등포구,0.025
20220812,영등포구,0
20220811,영등포구,0.237
20220810,영등포구,0.063
20220809,영등포구,0.696
20220807,영등포구,0.003
20220806,영등포구,0
20220805,영등포구,0
20220804,영등포구,0
20220803,영등포구,0.253
20220802,영등포구,0.256
20220801,영등포구,0.142
20220731,영등포구,0.225
20220730,영등포구,0
20220729,영등포구,0
20220728,영등포구,0
20220727,영등포구,0
20220726,영등포구,0
20220725,영등포구,0
20220724,영등포구,0.006
20220723,영등포구,0.098
20220722,영등포구,0.016
20220721,영등포구,0.101
20220720,영등포구,0.006
20220719,영등포구,0
20220718,영등포구,0
20220717,영등포구,0
20220716,영등포구,0
20220715,영등포구,0
20220714,영등포구,0.006
20220713,영등포구,0.734
20220712,영등포구,0
20220711,영등포구,0.003
20220710,영등포구,0
20220709,영등포구,0
20220708,영등포구,0.003
20220707,영등포구,0.003
20220706,영등포구,0.108
20220705,영등포구,0
20220704,영등포구,0.009
20220703,영등포구,0
20220702,영등포구,0
20220701,영등포구,0
20220630,영등포구,1
20220629,영등포구,0.237
20220628,영등포구,0.016
20220627,영등포구,0.025
20220626,영등포구,0
20220625,영등포구,0
20220624,영등포구,0.114
20220623,영등포구,0.525
20220622,영등포구,0
20220619,영등포구,0
20220618,영등포구,0
20220617,영등포구,0
20220616,영등포구,0.006
20220615,영등포구,0.098
20220614,영등포구,0
20220613,영등포구,0.025
20220612,영등포구,0
20220611,영등포구,0
20220610,영등포구,0.006
20220609,영등포구,0.006
20220608,영등포구,0
20220607,영등포구,0
20220606,영등포구,0.028
20220605,영등포구,0
20220604,영등포구,0
20220603,영등포구,0
20220602,영등포구,0
20220601,영등포구,0
20220531,영등포구,0
20220530,영등포구,0
20220529,영등포구,0
20220528,영등포구,0
20220527,영등포구,0
20220526,영등포구,0
20220525,영등포구,0.016
20220524,영등포구,0
20220523,영등포구,0
20220522,영등포구,0
20220521,영등포구,0
20220520,영등포구,0
20220519,영등포구,0
20220518,영등포구,0.019
20220517,영등포구,0
20220516,영등포구,0
20220515,영등포구,0
20220514,영등포구,0
20220513,영등포구,0
20220512,영등포구,0
20220511,영등포구,0
20220510,영등포구,0
20220509,영등포구,0
20220508,영등포구,0.013
20220507,영등포구,0
20220506,영등포구,0
20220505,영등포구,0
20220504,영등포구,0
20220503,영등포구,0
20220502,영등포구,0
20220501,영등포구,0
20220430,영등포구,0
20220429,영등포구,0.095
20220428,영등포구,0
20220427,영등포구,0
20220426,영등포구,0.009
20220425,영등포구,0
20220424,영등포구,0
20220423,영등포구,0
20220422,영등포구,0
20220421,영등포구,0
20220420,영등포구,0
20220419,영등포구,0
20220418,영등포구,0
20220417,영등포구,0
20220416,영등포구,0
20220415,영등포구,0
20220414,영등포구,0
20220413,영등포구,0.016
20220412,영등포구,0
20220411,영등포구,0
20220410,영등포구,0
20220409,영등포구,0
20220408,영등포구,0
20220407,영등포구,0
20220406,영등포구,0
20220405,영등포구,0
20220404,영등포구,0
20220403,영등포구,0
20220402,영등포구,0
20220401,영등포구,0
20220331,영등포구,0
20220330,영등포구,0
20220329,영등포구,0
20220328,영등포구,0
20220327,영등포구,0
20220326,영등포구,0.111
20220325,영등포구,0.057
20220324,영등포구,0
20220323,영등포구,0
20220322,영등포구,0
20220321,영등포구,0
20220320,영등포구,0
20220319,영등포구,0.082
20220318,영등포구,0
20220317,영등포구,0.003
20220316,영등포구,0
20220315,영등포구,0
20220314,영등포구,0.044
20220313,영등포구,0.234
20220312,영등포구,0.009
20220311,영등포구,0
20220310,영등포구,0
20220309,영등포구,0
20220308,영등포구,0
20220307,영등포구,0
20220306,영등포구,0
20220305,영등포구,0
20220304,영등포구,0
20220303,영등포구,0
20220302,영등포구,0
20220301,영등포구,0.016
20220228,영등포구,0
20220227,영등포구,0
20220226,영등포구,0.006
20220225,영등포구,0
20220224,영등포구,0
20220223,영등포구,0
20220222,영등포구,0
20220221,영등포구,0
20220220,영등포구,0
20220219,영등포구,0
