측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
송파구,20210921,21,12
송파구,20210922,13,6
송파구,20210923,18,7
송파구,20210924,17,8
송파구,20210925,8,3
송파구,20210926,8,2
송파구,20210927,11,4
송파구,20210928,13,5
송파구,20210929,14,7
송파구,20210930,21,11
송파구,20211001,35,19
송파구,20211002,27,16
송파구,20211003,37,24
송파구,20211004,39,21
송파구,20211005,40,16
송파구,20211006,7,2
송파구,20211007,17,7
송파구,20211008,22,12
송파구,20211009,15,6
송파구,20211010,23,12
송파구,20211011,28,10
송파구,20211012,13,3
송파구,20211013,14,4
송파구,20211014,24,10
송파구,20211015,24,12
송파구,20211016,33,9
송파구,20211017,23,6
송파구,20211018,26,10
송파구,20211019,28,16
송파구,20211020,31,16
송파구,20211021,33,19
송파구,20211022,39,24
송파구,20211023,40,23
송파구,20211024,31,21
송파구,20211025,33,20
송파구,20211026,44,26
송파구,20211027,50,28
송파구,20211028,33,14
송파구,20211029,26,13
송파구,20211030,24,13
송파구,20211031,31,19
송파구,20211101,36,22
송파구,20211102,43,27
송파구,20211103,46,30
송파구,20211104,50,33
송파구,20211105,61,41
송파구,20211106,54,33
송파구,20211107,36,21
송파구,20211108,11,5
송파구,20211109,9,5
송파구,20211110,17,9
송파구,20211111,20,8
송파구,20211112,21,9
송파구,20211113,28,13
송파구,20211114,49,24
송파구,20211115,58,28
송파구,20211116,54,25
송파구,20211117,38,19
송파구,20211118,52,26
송파구,20211119,94,56
송파구,20211120,129,87
송파구,20211121,111,82
송파구,20211122,44,15
송파구,20211123,30,10
송파구,20211124,27,12
송파구,20211125,48,17
송파구,20211126,26,12
송파구,20211127,35,18
송파구,20211128,41,26
송파구,20211129,46,28
송파구,20211130,22,14
송파구,20211201,19,8
송파구,20211202,22,12
송파구,20211203,21,9
송파구,20211204,22,10
송파구,20211205,32,19
송파구,20211206,45,25
송파구,20211207,45,26
송파구,20211208,33,18
송파구,20211209,34,19
송파구,20211210,31,17
송파구,20211211,62,39
송파구,20211212,42,23
송파구,20211213,22,10
송파구,20211214,30,16
송파구,20211215,67,45
송파구,20211216,85,56
송파구,20211217,39,19
송파구,20211218,24,11
송파구,20211219,32,14
송파구,20211220,48,25
송파구,20211221,60,34
송파구,20211222,33,16
송파구,20211223,44,26
송파구,20211224,48,33
송파구,20211225,26,12
송파구,20211226,18,7
송파구,20211227,29,16
송파구,20211228,44,30
송파구,20211229,52,39
송파구,20211230,34,20
송파구,20211231,23,7
