측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
영등포구,20210831,28,22
영등포구,20210901,7,3
영등포구,20210902,9,3
영등포구,20210903,15,8
영등포구,20210904,11,6
영등포구,20210905,11,5
영등포구,20210906,17,9
영등포구,20210907,11,7
영등포구,20210908,11,5
영등포구,20210909,29,18
영등포구,20210910,34,24
영등포구,20210911,28,22
영등포구,20210912,21,14
영등포구,20210913,27,16
영등포구,20210914,23,13
영등포구,20210915,15,8
영등포구,20210916,13,5
영등포구,20210917,13,6
영등포구,20210918,11,5
영등포구,20210919,14,8
영등포구,20210920,12,7
영등포구,20210921,27,13
영등포구,20210922,12,6
영등포구,20210923,14,8
영등포구,20210924,20,13
영등포구,20210925,6,2
영등포구,20210926,8,3
영등포구,20210927,13,5
영등포구,20210928,14,7
영등포구,20210929,15,9
영등포구,20210930,21,10
영등포구,20211001,35,21
영등포구,20211002,27,14
영등포구,20211003,35,23
영등포구,20211004,38,19
영등포구,20211005,37,15
영등포구,20211006,11,5
영등포구,20211007,14,7
영등포구,20211008,22,14
영등포구,20211009,14,8
영등포구,20211010,21,13
영등포구,20211011,27,9
영등포구,20211012,13,4
영등포구,20211013,14,5
영등포구,20211014,20,10
영등포구,20211015,26,15
영등포구,20211016,29,9
영등포구,20211017,21,6
영등포구,20211018,23,10
영등포구,20211019,27,17
영등포구,20211020,28,16
영등포구,20211021,31,19
영등포구,20211022,38,22
영등포구,20211023,42,25
영등포구,20211024,30,19
영등포구,20211025,28,18
영등포구,20211026,43,28
영등포구,20211027,45,28
영등포구,20211028,24,11
영등포구,20211029,23,9
영등포구,20211030,25,13
영등포구,20211031,31,19
영등포구,20211101,33,21
영등포구,20211102,39,25
영등포구,20211103,45,28
영등포구,20211104,48,34
영등포구,20211105,70,45
영등포구,20211106,56,33
영등포구,20211107,33,20
영등포구,20211108,11,4
영등포구,20211109,10,5
영등포구,20211110,14,7
영등포구,20211111,15,6
영등포구,20211112,21,9
영등포구,20211113,27,12
영등포구,20211114,50,25
영등포구,20211115,59,23
영등포구,20211116,49,22
영등포구,20211117,34,17
영등포구,20211118,57,27
영등포구,20211119,98,60
영등포구,20211120,138,94
영등포구,20211121,124,90
영등포구,20211122,40,14
영등포구,20211123,27,9
영등포구,20211124,26,12
영등포구,20211125,46,18
영등포구,20211126,24,13
영등포구,20211127,37,22
영등포구,20211128,43,32
영등포구,20211129,55,41
영등포구,20211130,22,17
영등포구,20211201,16,9
영등포구,20211202,23,13
영등포구,20211203,21,9
영등포구,20211204,23,12
영등포구,20211205,34,23
영등포구,20211206,43,28
영등포구,20211207,56,38
영등포구,20211208,44,28
영등포구,20211209,36,23
영등포구,20211210,29,19
영등포구,20211211,62,45
영등포구,20211212,41,26
영등포구,20211213,21,9
영등포구,20211214,32,19
영등포구,20211215,75,54
영등포구,20211216,87,60
영등포구,20211217,33,17
영등포구,20211218,24,12
영등포구,20211219,31,13
영등포구,20211220,52,27
영등포구,20211221,54,32
영등포구,20211222,31,17
영등포구,20211223,40,25
영등포구,20211224,49,31
영등포구,20211225,20,10
영등포구,20211226,15,7
영등포구,20211227,31,19
영등포구,20211228,53,42
영등포구,20211229,58,44
영등포구,20211230,29,15
영등포구,20211231,22,6
