날짜,평일/주말,평군온도,풍속,풍향,강수량,미세먼지농도,초미세먼지농도,이용건수
2021-06-03,0,19.1,2.2,250,0,31,18,2853
2021-06-04,0,18.5,2.4,290,0,25,13,9980
2021-06-05,1,20.8,2.7,270,0,45,27,9761
2021-06-06,1,23,1.8,290,0.003,57,38,8863
2021-06-07,0,21.1,2,290,0,35,19,9434
2021-06-08,0,23.6,2.3,200,0,41,28,9787
2021-06-09,0,25.8,2.1,290,0.044,41,27,9138
2021-06-10,0,24.9,2.3,290,0.032,58,44,5887
2021-06-11,0,21.5,2,340,0,19,13,9011
2021-06-12,1,24.2,2.2,290,0,21,15,8281
2021-06-13,1,24.8,1.7,320,0,30,22,7838
2021-06-14,0,24.8,1.9,290,0.013,36,26,10088
2021-06-15,0,22.5,2.9,290,0,26,19,6934
2021-06-16,0,24.3,2.8,290,0,12,6,10353
2021-06-17,0,21.9,2.2,270,0.035,18,10,8587
2021-06-18,0,20,2,290,0,15,10,5118
2021-06-19,1,22.3,1.6,290,0,41,30,9255
2021-06-20,1,22.9,2.1,290,0,51,35,8864
2021-06-21,0,23.6,2.1,320,0.111,38,26,11225
2021-06-22,0,22.8,2,290,0.022,29,19,9883
2021-06-23,0,22.4,2,290,0,22,14,9389
2021-06-24,0,23,1.9,250,0,31,22,10842
2021-06-25,0,24.1,2.7,140,0.009,41,29,10792
2021-06-26,1,22.8,2.2,180,0.006,23,15,8319
2021-06-27,1,24.5,3.2,230,0.022,19,13,6815
2021-06-28,0,23.7,2,290,0.098,27,18,7736
2021-06-29,0,23.9,2.4,250,0.003,30,20,8779
2021-06-30,0,24.3,2.4,50,0,36,27,9956
2021-07-01,0,26.3,4,50,0,38,28,11187
2021-07-02,0,27.1,1.9,320,0.323,27,19,11177
2021-07-03,1,22.6,1.9,270,0.098,15,8,3853
2021-07-04,1,21.4,2.6,160,0,10,5,2413
2021-07-05,0,23.3,2.1,250,0,25,13,10923
2021-07-06,0,25.3,1.9,250,0.035,43,28,11358
2021-07-07,0,26.4,2.1,320,0.016,30,19,9589
2021-07-08,0,26,2.5,290,0,19,11,9445
2021-07-09,0,25.5,2,290,0.013,16,9,10161
2021-07-10,1,25.9,1.7,320,0,26,19,7670
2021-07-11,1,25.7,2.8,50,0,32,22,6705
2021-07-12,0,28.1,2.6,50,0,35,25,9829
2021-07-13,0,28.8,2.4,50,0,30,20,10044
2021-07-14,0,29.7,4,50,0,19,11,9475
2021-07-15,0,29.1,2.8,50,0.152,21,12,8941
2021-07-16,0,28.8,2,50,0,21,13,7594
2021-07-17,1,29.1,1.8,270,0.047,17,11,7857
2021-07-18,1,29.6,1.9,270,0,14,8,6819
2021-07-19,0,26.4,1.6,290,0.079,15,10,6870
2021-07-20,0,27.9,2.7,50,0,20,13,9218
2021-07-21,0,30.5,3.7,200,0,25,17,9504
2021-07-22,0,31.2,1.6,250,0,27,18,9242
