"대여일자","이용건수_합계"
2022-11-15,10563
2022-11-16,12486
2022-11-17,13026
2022-11-18,13742
2022-11-19,12007
2022-11-20,11673
2022-11-21,13349
2022-11-22,12366
2022-11-23,13503
2022-11-24,13148
2022-11-25,12945
2022-11-26,8865
2022-11-27,8040
2022-11-28,6291
2022-11-29,8201
2022-11-30,6649
2022-12-01,6622
2022-12-02,7477
2022-12-03,5605
2022-12-04,4245
2022-12-05,7054
2022-12-06,6962
2022-12-07,8637
2022-12-08,9114
2022-12-09,9603
2022-12-10,6910
2022-12-11,5684
2022-12-12,5478
2022-12-13,5050
2022-12-14,4975
2022-12-15,3565
2022-12-16,4202
2022-12-17,3226
2022-12-18,2359
2022-12-19,4995
2022-12-20,6058
2022-12-21,2516
2022-12-22,2750
2022-12-23,2487
2022-12-24,2297
2022-12-25,2090
2022-12-26,4235
2022-12-27,4825
2022-12-28,4536
2022-12-29,4986
2022-12-30,4680
2022-12-31,3713
