"대여일자","평일/주말","평균온도","풍속","풍향","강수량","이용건수"
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,5
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,5
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,9
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,5
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,8
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,2
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,8
2022-03-01,1,5.8,2.3,250,0.0131,7
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,4
2022-03-01,1,5.8,2.3,250,0.0131,6
2022-03-01,1,5.8,2.3,250,0.0131,5
2022-03-01,1,5.8,2.3,250,0.0131,1
2022-03-01,1,5.8,2.3,250,0.0131,3
2022-03-01,1,5.8,2.3,250,0.0131,13
