조사년월일,측정지역,일일강수량
20221126,송파구,0
20221125,송파구,0.005
20221124,송파구,0
20221123,송파구,0
20221122,송파구,0
20221121,송파구,0
20221120,송파구,0
20221119,송파구,0
20221118,송파구,0
20221117,송파구,0
20221116,송파구,0
20221115,송파구,0.015
20221114,송파구,0
20221113,송파구,0
20221112,송파구,0.115
20221111,송파구,0
20221110,송파구,0
20221109,송파구,0
20221108,송파구,0
20221107,송파구,0
20221106,송파구,0
20221105,송파구,0
20221104,송파구,0
20221103,송파구,0
20221102,송파구,0
20221101,송파구,0
20221031,송파구,0
20221030,송파구,0
20221029,송파구,0
20221028,송파구,0
20221027,송파구,0
20221026,송파구,0
20221025,송파구,0
20221024,송파구,0
20221023,송파구,0
20221022,송파구,0
20221021,송파구,0
20221020,송파구,0
20221019,송파구,0
20221018,송파구,0
20221017,송파구,0
20221016,송파구,0
20221015,송파구,0
20221014,송파구,0
20221013,송파구,0
20221012,송파구,0
20221011,송파구,0
20221010,송파구,0.008
20221009,송파구,0.052
20221008,송파구,0
20221007,송파구,0
20221006,송파구,0
20221005,송파구,0
20221004,송파구,0.044
20221003,송파구,0.184
20221002,송파구,0.031
20221001,송파구,0
20220930,송파구,0
20220929,송파구,0
20220928,송파구,0
20220927,송파구,0
20220926,송파구,0
20220925,송파구,0
20220924,송파구,0
20220923,송파구,0.008
20220922,송파구,0
20220921,송파구,0
20220920,송파구,0
20220919,송파구,0
20220918,송파구,0
20220917,송파구,0.031
20220916,송파구,0.07
20220915,송파구,0
20220914,송파구,0
20220913,송파구,0
20220912,송파구,0
20220911,송파구,0
20220910,송파구,0
20220909,송파구,0
20220908,송파구,0
20220907,송파구,0
20220906,송파구,0.148
20220905,송파구,0.589
20220904,송파구,0.059
20220903,송파구,0
20220902,송파구,0
20220901,송파구,0
20220831,송파구,0
20220830,송파구,0.146
20220829,송파구,0.01
20220828,송파구,0
20220827,송파구,0.005
20220826,송파구,0
20220825,송파구,0.005
20220824,송파구,0
20220823,송파구,0.01
20220822,송파구,0.007
20220821,송파구,0
20220820,송파구,0
20220819,송파구,0.159
20220818,송파구,0
20220817,송파구,0
20220816,송파구,0
20220815,송파구,0.005
20220814,송파구,0.005
20220813,송파구,0.007
20220812,송파구,0
20220811,송파구,0.15
20220810,송파구,0.041
20220809,송파구,0.372
20220808,송파구,1
20220807,송파구,0.002
20220806,송파구,0.028
20220805,송파구,0
20220804,송파구,0
20220803,송파구,0.192
20220802,송파구,0.031
20220801,송파구,0.086
20220731,송파구,0.143
20220730,송파구,0
20220729,송파구,0
20220728,송파구,0
20220727,송파구,0
20220726,송파구,0
20220725,송파구,0
20220724,송파구,0.01
20220723,송파구,0.059
20220722,송파구,0.073
20220721,송파구,0.063
20220720,송파구,0.003
20220719,송파구,0.008
20220718,송파구,0
20220717,송파구,0
20220716,송파구,0.036
20220715,송파구,0
20220714,송파구,0
20220713,송파구,0.459
20220712,송파구,0
20220711,송파구,0
20220710,송파구,0
20220709,송파구,0
20220708,송파구,0
20220707,송파구,0.003
20220706,송파구,0.055
20220705,송파구,0
20220704,송파구,0.003
20220703,송파구,0
20220702,송파구,0
20220701,송파구,0
20220630,송파구,0.685
20220629,송파구,0.14
20220628,송파구,0.008
20220627,송파구,0.026
20220626,송파구,0
20220625,송파구,0
20220624,송파구,0.059
20220623,송파구,0.296
20220622,송파구,0
20220621,송파구,0
20220620,송파구,0
20220619,송파구,0
20220618,송파구,0
20220617,송파구,0
20220616,송파구,0.016
20220615,송파구,0.06
20220614,송파구,0
20220613,송파구,0.055
20220612,송파구,0
20220611,송파구,0
20220610,송파구,0
20220609,송파구,0.002
20220608,송파구,0
20220607,송파구,0
20220606,송파구,0.01
20220605,송파구,0
20220604,송파구,0
20220603,송파구,0
20220602,송파구,0
20220601,송파구,0
20220531,송파구,0
20220530,송파구,0
20220529,송파구,0
20220528,송파구,0
20220527,송파구,0
20220526,송파구,0
20220525,송파구,0.02
20220524,송파구,0
20220523,송파구,0
20220522,송파구,0
20220521,송파구,0
20220520,송파구,0
20220519,송파구,0
20220518,송파구,0.003
20220517,송파구,0
20220516,송파구,0
20220515,송파구,0
20220514,송파구,0
20220513,송파구,0
20220512,송파구,0
20220511,송파구,0
20220510,송파구,0
20220509,송파구,0
20220508,송파구,0.008
20220507,송파구,0
20220506,송파구,0
20220505,송파구,0
20220504,송파구,0
20220503,송파구,0
20220502,송파구,0
20220501,송파구,0
20220430,송파구,0
20220429,송파구,0.05
20220428,송파구,0
20220427,송파구,0
20220426,송파구,0.013
20220425,송파구,0.002
20220424,송파구,0
20220423,송파구,0
20220422,송파구,0
20220421,송파구,0
20220420,송파구,0
20220419,송파구,0
20220418,송파구,0
20220417,송파구,0
20220416,송파구,0
20220415,송파구,0
20220414,송파구,0
20220413,송파구,0.024
20220412,송파구,0
20220411,송파구,0
20220410,송파구,0
20220409,송파구,0
20220408,송파구,0
20220407,송파구,0
20220406,송파구,0
20220405,송파구,0
20220404,송파구,0
20220403,송파구,0
20220402,송파구,0
20220401,송파구,0
20220331,송파구,0
20220330,송파구,0
20220329,송파구,0
20220328,송파구,0
20220327,송파구,0
20220326,송파구,0.044
20220325,송파구,0.029
20220324,송파구,0
20220323,송파구,0
20220322,송파구,0
20220321,송파구,0
20220320,송파구,0
20220319,송파구,0.028
20220318,송파구,0
20220317,송파구,0.002
20220316,송파구,0
20220315,송파구,0
20220314,송파구,0.02
20220313,송파구,0.08
20220312,송파구,0.018
20220311,송파구,0
20220310,송파구,0
20220309,송파구,0
20220308,송파구,0
20220307,송파구,0
20220306,송파구,0
20220305,송파구,0
20220304,송파구,0
20220303,송파구,0
20220302,송파구,0
20220301,송파구,0.008
20220228,송파구,0
20220227,송파구,0
20220226,송파구,0.011
20220225,송파구,0
20220224,송파구,0
20220223,송파구,0
20220222,송파구,0
20220221,송파구,0
20220220,송파구,0
20220219,송파구,0
20220218,송파구,0
20220217,송파구,0
20220216,송파구,0
20220215,송파구,0
20220214,송파구,0.003
20220213,송파구,0
20220212,송파구,0
20220211,송파구,0
20220209,송파구,0
20220208,송파구,0
20220207,송파구,0
20220206,송파구,0
20220205,송파구,0
20220203,송파구,0
20220202,송파구,0
20220131,송파구,0
20220130,송파구,0
20220129,송파구,0
20220128,송파구,0
20220127,송파구,0
20220126,송파구,0
20220125,송파구,0
20220124,송파구,0
20220123,송파구,0
20220122,송파구,0
20220121,송파구,0
20220120,송파구,0
20220119,송파구,0
20220118,송파구,0
20220117,송파구,0
20220116,송파구,0
20220115,송파구,0
20220114,송파구,0
20220113,송파구,0
20220112,송파구,0
20220111,송파구,0
20220110,송파구,0
20220109,송파구,0
20220108,송파구,0
20220107,송파구,0
20220106,송파구,0
20220105,송파구,0
20220104,송파구,0
20220103,송파구,0
20220102,송파구,0
20220101,송파구,0
20211231,송파구,0
20211230,송파구,0
