대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2021-03-04,0,7.2,1.9,50,0,40,25,4330
2021-03-05,0,9,2.1,250,0,35,20,5045
2021-03-06,1,6.6,3.3,50,0,27,15,4438
2021-03-07,1,6.2,2.8,50,0,23,13,5303
2021-03-08,0,7,1.8,270,0,41,25,4666
2021-03-09,0,6.6,2.2,250,0,48,29,4795
2021-03-10,0,8.8,1.8,50,0,85,60,5198
2021-03-11,0,10.2,1.8,270,0,112,84,4839
2021-03-12,0,10.5,2.2,50,0,60,41,4290
2021-03-13,1,9.2,2.2,270,0,51,34,5939
2021-03-14,1,9.1,2.2,250,0,67,50,5509
2021-03-15,0,10.6,2.4,230,0.003,68,49,4975
2021-03-16,0,8.4,3.2,290,0.005,65,15,4690
2021-03-17,0,8.8,1.8,50,0,93,17,5631
2021-03-18,0,11.7,1.8,50,0,96,38,5662
2021-03-19,0,15.3,2.2,70,0,68,25,6732
2021-03-20,1,9.9,2.2,110,0.013,27,12,1516
2021-03-21,1,5.8,4,270,0.002,43,31,3991
2021-03-22,0,6.2,3.2,250,0,36,15,5013
2021-03-23,0,9.1,2.5,200,0,70,25,5793
2021-03-24,0,10.8,2.4,270,0,57,24,6338
2021-03-25,0,11.9,2.2,270,0,59,27,6686
2021-03-26,0,12.6,1.4,250,0,92,55,6882
2021-03-27,1,12.1,2.5,70,0.06,53,30,1488
2021-03-28,1,9,3.3,200,0.02,17,12,2717
2021-03-29,0,10.2,3.3,250,0,263,43,5043
2021-03-30,0,10.8,2.2,270,0,130,28,6683
2021-03-31,0,14.5,1.8,50,0,42,17,8327
2021-04-01,0,17.7,3.5,50,0,45,14,8329
2021-04-02,0,17.8,3.2,70,0,47,15,7979
2021-04-03,1,14.9,3.1,50,0.172,31,12,1012
2021-04-04,1,11.9,3.2,50,0,10,5,7338
2021-04-05,0,11.9,2.4,20,0,22,10,7744
2021-04-06,0,13.9,2.5,250,0,39,23,8029
2021-04-07,0,14.1,2.5,250,0,51,30,8001
2021-04-08,0,13,2.7,270,0,33,15,7403
